,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
2980,down_votes,0,197,115343,-2,3682,99834,18,8228
2981,down_votes,0,197,115343,1,3682,99834,16,8228
2982,down_votes,0,197,115343,0,3682,99834,8,8228
2983,down_votes,0,197,115343,0,3682,99834,20,8228
2984,down_votes,0,197,115343,-2,3682,99834,18,8228
2985,down_votes,4,197,115343,0,3682,99834,9,8228
2986,down_votes,0,197,115343,0,3682,99834,12,8228
2998,down_votes,4,97,7848,0,726,958464,18,1599
2999,down_votes,0,97,7848,0,726,958464,17,1599
3000,down_votes,4,97,7848,0,726,958464,16,1599
3001,down_votes,0,97,7848,0,726,958464,10,1599
3002,down_votes,0,97,7848,0,726,958464,16,1599
3012,down_votes,3,49,6229,1,351,3607273,18,912
3013,down_votes,2,49,6229,0,351,3607273,7,912
3014,down_votes,0,49,6229,0,351,3607273,4,912
3015,down_votes,0,49,6229,0,351,3607273,16,912
3016,down_votes,0,49,6229,0,351,3607273,13,912
3017,down_votes,0,49,6229,0,351,3607273,10,912
3024,down_votes,0,45,12968,0,585,1290545,13,8792
3033,down_votes,0,49,7955,1,477,2613662,15,422
3034,down_votes,0,49,7955,0,477,2613662,11,422
3047,down_votes,1,1138,5237,0,996,325900,14,919
3048,down_votes,1,1138,5237,0,996,325900,18,919
3049,down_votes,0,1615,16309,0,5329,1563422,8,5981
3074,down_votes,0,220,5737,1,2206,1147385,17,968
3078,down_votes,0,89,5544,0,1092,1238867,6,412
3098,down_votes,0,376,4335,0,379,2075402,12,627
3186,down_votes,2,42,2452,0,281,1082555,14,307
3199,down_votes,0,46,4118,0,644,932727,19,963
3207,down_votes,0,72,20390,0,505,178757,13,1317
3208,down_votes,0,45,29561,0,273,289666,13,951
3234,down_votes,2,201,41424,0,754,13227,20,2370
3235,down_votes,0,126,23409,0,1452,202168,19,1690
3236,down_votes,0,126,23409,1,1452,202168,16,1690
3237,down_votes,0,126,23409,0,1452,202168,14,1690
3242,down_votes,0,59,1142,0,79,1276856,8,438
3243,down_votes,4,59,1142,0,79,1276856,10,438
